"State","Latitude","Longitude"
"Minnesota",46.2808,-94.3053
"Pennsylvania",40.8781,-77.7997
"Arizona",34.2744,-111.6603
"California",37.1842,-119.4697
"Colorado",38.9972,-105.5478
"Connecticut",41.622,-72.7272
"Florida",28.6306,-82.4497
"Georgia",32.6414,-83.4425
"Louisiana",31.0689,-91.9967
"Maine",45.3694,-69.2428
"Maryland",39.055,-76.7908
"Massachusetts",42.2597,-71.8083
"Montana",47.0528,-109.6333
"Nebraska",41.5378,-99.795
"New Mexico",34.4072,-106.1125
"New York",42.9539,-75.5267
"Oregon",43.9336,-120.5583
"South Carolina",33.9169,-80.8964
"South Dakota",44.4442,-100.2264
"Texas",31.4758,-99.3311
"Vermont",44.0686,-72.6658
"Virginia",37.5214,-78.8536
"Washington",47.3825,-120.4472
"Wisconsin",44.6242,-89.9942
