location,ecoregion,snell,pas,sluk,n,Latitude,Longitude
minnesota,plains,341,0,1,342,46.2808,-94.3053
pennsylvania,east,0,107,0,107,40.8781,-77.7997
arizona,desert,0,0,7,7,34.2744,-111.6603
california,west,0,0,9,9,37.1842,-119.4697
colorado,plains,0,0,4,4,38.9972,-105.5478
connecticut,east,0,0,1,1,41.622,-72.7272
florida,east,0,0,10,10,28.6306,-82.4497
georgia,east,0,0,1,1,32.6414,-83.4425
louisiana,east,0,0,1,1,31.0689,-91.9967
maine,east,0,0,2,2,45.3694,-69.2428
maryland,east,0,0,1,1,39.055,-76.7908
massachusetts,east,0,0,6,6,42.2597,-71.8083
montana,plains,0,0,5,5,47.0528,-109.6333
nebraska,plains,0,0,1,1,41.5378,-99.795
new mexico,desert,0,0,8,8,34.4072,-106.1125
new york,east,0,0,4,4,42.9539,-75.5267
oregon,west,0,0,4,4,43.9336,-120.5583
south carolina,east,0,0,3,3,33.9169,-80.8964
south dakota,plains,0,0,1,1,44.4442,-100.2264
texas,plains,0,0,5,5,31.4758,-99.3311
vermont,east,0,0,1,1,44.0686,-72.6658
virginia,east,0,0,1,1,37.5214,-78.8536
washington,west,0,0,2,2,47.3825,-120.4472
wisconsin,east,0,0,1,1,44.6242,-89.9942
alabama,NA,0,0,0,0,NA,NA
arkansas,NA,0,0,0,0,NA,NA
delaware,NA,0,0,0,0,NA,NA
district of columbia,NA,0,0,0,0,NA,NA
idaho,NA,0,0,0,0,NA,NA
illinois,NA,0,0,0,0,NA,NA
indiana,NA,0,0,0,0,NA,NA
iowa,NA,0,0,0,0,NA,NA
kansas,NA,0,0,0,0,NA,NA
kentucky,NA,0,0,0,0,NA,NA
michigan,NA,0,0,0,0,NA,NA
mississippi,NA,0,0,0,0,NA,NA
missouri,NA,0,0,0,0,NA,NA
nevada,NA,0,0,0,0,NA,NA
new hampshire,NA,0,0,0,0,NA,NA
new jersey,NA,0,0,0,0,NA,NA
north carolina,NA,0,0,0,0,NA,NA
north dakota,NA,0,0,0,0,NA,NA
ohio,NA,0,0,0,0,NA,NA
oklahoma,NA,0,0,0,0,NA,NA
rhode island,NA,0,0,0,0,NA,NA
tennessee,NA,0,0,0,0,NA,NA
utah,NA,0,0,0,0,NA,NA
west virginia,NA,0,0,0,0,NA,NA
wyoming,NA,0,0,0,0,NA,NA
